MsgID.GLOBAL_POSITION,1523174249.2772894,-122.3957522,37.7932806,0.1000000
MsgID.LOCAL_VELOCITY,1523174249.2772894,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1523174249.2780299,-0.1236394,-0.0676036,-0.1007769
MsgID.LOCAL_VELOCITY,1523174249.2780299,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1523174249.2791598,False,False
MsgID.GLOBAL_HOME,1523174249.2807212,-122.3957514,37.7932817,0.0000000
MsgID.GLOBAL_POSITION,1523174249.2811425,-122.3957531,37.7932800,0.1070000
MsgID.LOCAL_VELOCITY,1523174249.2811425,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1523174249.2816131,-0.1820928,-0.1501601,-0.1076667
MsgID.LOCAL_VELOCITY,1523174249.2816131,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1523174249.2821214,-122.3957521,37.7932806,0.1090000
MsgID.LOCAL_VELOCITY,1523174249.2821214,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1523174249.2826531,-0.1244673,-0.0595218,-0.1098793
MsgID.LOCAL_VELOCITY,1523174249.2826531,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1523174249.2831631,-122.3957513,37.7932812,0.1050000
MsgID.LOCAL_VELOCITY,1523174249.2831631,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1523174249.2835958,-0.0573280,0.0048015,-0.1059485
MsgID.LOCAL_VELOCITY,1523174249.2835958,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1523174249.2840710,-122.3957511,37.7932813,0.0930000
MsgID.LOCAL_VELOCITY,1523174249.2840710,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1523174249.2845280,-0.0367225,0.0310751,-0.0939868
MsgID.LOCAL_VELOCITY,1523174249.2845280,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1523174249.2853241,False,False
MsgID.GLOBAL_HOME,1523174249.2859232,-122.3957514,37.7932817,0.0000000
